Driver,StruggleScore
Gabriel Bortoleto,0.10000000000000003
Isack Hadjar,0.23336861768368616
Oliver Bearman,0.9500000000000001
Andrea Kimi Antonelli,0.4841718555417185
Jack Doohan,0.49363428808634285
